Time(min)   ;HYD_00mm    ;Time(min)   ;HYD_10mm    ;Time(min)   ;HYD_20mm    ;Time(min)   ;HYD_30mm    ;Time(min)   ;HYD_40mm    ;Time(min)   ;HYD_50mm    ;Time(min)   ;HYD_120mm   ;
 0.0000E+000; 8.9326E-001; 0.0000E+000; 8.7374E-001; 0.0000E+000; 8.6105E-001; 0.0000E+000; 8.5125E-001; 0.0000E+000; 8.4432E-001; 0.0000E+000; 8.4020E-001; 0.0000E+000; 8.9326E-001;
 1.0000E+000; 8.9326E-001; 1.0000E+000; 8.7374E-001; 1.0000E+000; 8.6105E-001; 1.0000E+000; 8.5125E-001; 1.0000E+000; 8.4432E-001; 1.0000E+000; 8.4020E-001; 1.0000E+000; 8.9326E-001;
 2.0000E+000; 8.9326E-001; 2.0000E+000; 8.7374E-001; 2.0000E+000; 8.6105E-001; 2.0000E+000; 8.5125E-001; 2.0000E+000; 8.4432E-001; 2.0000E+000; 8.4020E-001; 2.0000E+000; 8.9326E-001;
 3.0000E+000; 8.9327E-001; 3.0000E+000; 8.7374E-001; 3.0000E+000; 8.6105E-001; 3.0000E+000; 8.5125E-001; 3.0000E+000; 8.4432E-001; 3.0000E+000; 8.4020E-001; 3.0000E+000; 8.9326E-001;
 4.0000E+000; 8.9327E-001; 4.0000E+000; 8.7374E-001; 4.0000E+000; 8.6105E-001; 4.0000E+000; 8.5125E-001; 4.0000E+000; 8.4432E-001; 4.0000E+000; 8.4021E-001; 4.0000E+000; 8.9326E-001;
 5.0000E+000; 8.9328E-001; 5.0000E+000; 8.7375E-001; 5.0000E+000; 8.6105E-001; 5.0000E+000; 8.5125E-001; 5.0000E+000; 8.4433E-001; 5.0000E+000; 8.4021E-001; 5.0000E+000; 8.9326E-001;
 6.0000E+000; 8.9328E-001; 6.0000E+000; 8.7376E-001; 6.0000E+000; 8.6106E-001; 6.0000E+000; 8.5125E-001; 6.0000E+000; 8.4433E-001; 6.0000E+000; 8.4021E-001; 6.0000E+000; 8.9326E-001;
 7.0000E+000; 8.9329E-001; 7.0000E+000; 8.7377E-001; 7.0000E+000; 8.6106E-001; 7.0000E+000; 8.5125E-001; 7.0000E+000; 8.4433E-001; 7.0000E+000; 8.4021E-001; 7.0000E+000; 8.9326E-001;
 8.0000E+000; 8.9329E-001; 8.0000E+000; 8.7380E-001; 8.0000E+000; 8.6106E-001; 8.0000E+000; 8.5125E-001; 8.0000E+000; 8.4433E-001; 8.0000E+000; 8.4021E-001; 8.0000E+000; 8.9326E-001;
 9.0000E+000; 8.9330E-001; 9.0000E+000; 8.7383E-001; 9.0000E+000; 8.6107E-001; 9.0000E+000; 8.5125E-001; 9.0000E+000; 8.4433E-001; 9.0000E+000; 8.4021E-001; 9.0000E+000; 8.9326E-001;
 1.0000E+001; 8.9331E-001; 1.0000E+001; 8.7389E-001; 1.0000E+001; 8.6107E-001; 1.0000E+001; 8.5125E-001; 1.0000E+001; 8.4433E-001; 1.0000E+001; 8.4021E-001; 1.0000E+001; 8.9326E-001;
 1.1000E+001; 8.9331E-001; 1.1000E+001; 8.7396E-001; 1.1000E+001; 8.6108E-001; 1.1000E+001; 8.5126E-001; 1.1000E+001; 8.4433E-001; 1.1000E+001; 8.4021E-001; 1.1000E+001; 8.9326E-001;
 1.2000E+001; 8.9332E-001; 1.2000E+001; 8.7408E-001; 1.2000E+001; 8.6109E-001; 1.2000E+001; 8.5126E-001; 1.2000E+001; 8.4433E-001; 1.2000E+001; 8.4021E-001; 1.2000E+001; 8.9326E-001;
 1.3000E+001; 8.9333E-001; 1.3000E+001; 8.7423E-001; 1.3000E+001; 8.6111E-001; 1.3000E+001; 8.5126E-001; 1.3000E+001; 8.4433E-001; 1.3000E+001; 8.4021E-001; 1.3000E+001; 8.9326E-001;
 1.4000E+001; 8.9334E-001; 1.4000E+001; 8.7444E-001; 1.4000E+001; 8.6113E-001; 1.4000E+001; 8.5127E-001; 1.4000E+001; 8.4433E-001; 1.4000E+001; 8.4021E-001; 1.4000E+001; 8.9326E-001;
 1.5000E+001; 8.9335E-001; 1.5000E+001; 8.7471E-001; 1.5000E+001; 8.6115E-001; 1.5000E+001; 8.5127E-001; 1.5000E+001; 8.4433E-001; 1.5000E+001; 8.4021E-001; 1.5000E+001; 8.9326E-001;
 1.6000E+001; 8.9336E-001; 1.6000E+001; 8.7506E-001; 1.6000E+001; 8.6118E-001; 1.6000E+001; 8.5128E-001; 1.6000E+001; 8.4434E-001; 1.6000E+001; 8.4021E-001; 1.6000E+001; 8.9326E-001;
 1.7000E+001; 8.9338E-001; 1.7000E+001; 8.7551E-001; 1.7000E+001; 8.6122E-001; 1.7000E+001; 8.5129E-001; 1.7000E+001; 8.4434E-001; 1.7000E+001; 8.4021E-001; 1.7000E+001; 8.9326E-001;
 1.8000E+001; 8.9339E-001; 1.8000E+001; 8.7606E-001; 1.8000E+001; 8.6127E-001; 1.8000E+001; 8.5130E-001; 1.8000E+001; 8.4434E-001; 1.8000E+001; 8.4021E-001; 1.8000E+001; 8.9326E-001;
 1.9000E+001; 8.9340E-001; 1.9000E+001; 8.7671E-001; 1.9000E+001; 8.6133E-001; 1.9000E+001; 8.5131E-001; 1.9000E+001; 8.4435E-001; 1.9000E+001; 8.4022E-001; 1.9000E+001; 8.9326E-001;
 2.0000E+001; 8.9342E-001; 2.0000E+001; 8.7745E-001; 2.0000E+001; 8.6140E-001; 2.0000E+001; 8.5132E-001; 2.0000E+001; 8.4435E-001; 2.0000E+001; 8.4022E-001; 2.0000E+001; 8.9326E-001;
 2.1000E+001; 8.9344E-001; 2.1000E+001; 8.7825E-001; 2.1000E+001; 8.6148E-001; 2.1000E+001; 8.5134E-001; 2.1000E+001; 8.4435E-001; 2.1000E+001; 8.4022E-001; 2.1000E+001; 8.9326E-001;
